         247145 function calls in 13.410 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        5    0.000    0.000    0.000    0.000 {method 'set_volume' of 'pygame.mixer.Sound' objects}
        3    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 /Users/bridgerhall/Documents/senior project/tanks/maps.py:5(map)
        1    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:258(<lambda>)
        1    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/threading.py:280(_release_save)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/threading.py:283(_acquire_restore)
        1    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/threading.py:1206(daemon)
        1    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:931(create_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1122(get_filename)
        1    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/_distutils_hack/__init__.py:96(<lambda>)
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/threading.py:575(is_set)
        1    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}


